,jour,nomReg,numReg,incid_rea
227,2020-11-01,Guadeloupe,1.0,0
228,2020-11-02,Guadeloupe,1.0,2
229,2020-11-03,Guadeloupe,1.0,0
230,2020-11-04,Guadeloupe,1.0,1
231,2020-11-05,Guadeloupe,1.0,4
232,2020-11-06,Guadeloupe,1.0,1
233,2020-11-07,Guadeloupe,1.0,1
234,2020-11-08,Guadeloupe,1.0,1
235,2020-11-09,Guadeloupe,1.0,0
236,2020-11-10,Guadeloupe,1.0,2
237,2020-11-11,Guadeloupe,1.0,0
238,2020-11-12,Guadeloupe,1.0,1
239,2020-11-13,Guadeloupe,1.0,1
240,2020-11-14,Guadeloupe,1.0,1
241,2020-11-15,Guadeloupe,1.0,1
242,2020-11-16,Guadeloupe,1.0,2
243,2020-11-17,Guadeloupe,1.0,2
244,2020-11-18,Guadeloupe,1.0,0
245,2020-11-19,Guadeloupe,1.0,1
246,2020-11-20,Guadeloupe,1.0,0
247,2020-11-21,Guadeloupe,1.0,0
248,2020-11-22,Guadeloupe,1.0,0
249,2020-11-23,Guadeloupe,1.0,1
250,2020-11-24,Guadeloupe,1.0,1
251,2020-11-25,Guadeloupe,1.0,0
252,2020-11-26,Guadeloupe,1.0,2
253,2020-11-27,Guadeloupe,1.0,0
254,2020-11-28,Guadeloupe,1.0,1
255,2020-11-29,Guadeloupe,1.0,0
256,2020-11-30,Guadeloupe,1.0,0
257,2020-12-01,Guadeloupe,1.0,1
258,2020-12-02,Guadeloupe,1.0,0
259,2020-12-03,Guadeloupe,1.0,1
260,2020-12-04,Guadeloupe,1.0,0
261,2020-12-05,Guadeloupe,1.0,0
262,2020-12-06,Guadeloupe,1.0,0
263,2020-12-07,Guadeloupe,1.0,0
264,2020-12-08,Guadeloupe,1.0,0
265,2020-12-09,Guadeloupe,1.0,0
266,2020-12-10,Guadeloupe,1.0,0
267,2020-12-11,Guadeloupe,1.0,0
268,2020-12-12,Guadeloupe,1.0,0
269,2020-12-13,Guadeloupe,1.0,0
270,2020-12-14,Guadeloupe,1.0,0
271,2020-12-15,Guadeloupe,1.0,2
272,2020-12-16,Guadeloupe,1.0,0
273,2020-12-17,Guadeloupe,1.0,0
274,2020-12-18,Guadeloupe,1.0,0
275,2020-12-19,Guadeloupe,1.0,1
276,2020-12-20,Guadeloupe,1.0,0
277,2020-12-21,Guadeloupe,1.0,0
278,2020-12-22,Guadeloupe,1.0,2
279,2020-12-23,Guadeloupe,1.0,0
280,2020-12-24,Guadeloupe,1.0,1
281,2020-12-25,Guadeloupe,1.0,0
282,2020-12-26,Guadeloupe,1.0,0
283,2020-12-27,Guadeloupe,1.0,0
284,2020-12-28,Guadeloupe,1.0,0
285,2020-12-29,Guadeloupe,1.0,0
286,2020-12-30,Guadeloupe,1.0,1
287,2020-12-31,Guadeloupe,1.0,0
288,2021-01-01,Guadeloupe,1.0,0
289,2021-01-02,Guadeloupe,1.0,1
290,2021-01-03,Guadeloupe,1.0,0
291,2021-01-04,Guadeloupe,1.0,0
292,2021-01-05,Guadeloupe,1.0,0
293,2021-01-06,Guadeloupe,1.0,1
294,2021-01-07,Guadeloupe,1.0,0
295,2021-01-08,Guadeloupe,1.0,0
296,2021-01-09,Guadeloupe,1.0,0
297,2021-01-10,Guadeloupe,1.0,0
298,2021-01-11,Guadeloupe,1.0,0
299,2021-01-12,Guadeloupe,1.0,0
300,2021-01-13,Guadeloupe,1.0,0
301,2021-01-14,Guadeloupe,1.0,0
302,2021-01-15,Guadeloupe,1.0,1
303,2021-01-16,Guadeloupe,1.0,0
304,2021-01-17,Guadeloupe,1.0,2
305,2021-01-18,Guadeloupe,1.0,0
306,2021-01-19,Guadeloupe,1.0,0
307,2021-01-20,Guadeloupe,1.0,0
308,2021-01-21,Guadeloupe,1.0,1
309,2021-01-22,Guadeloupe,1.0,0
310,2021-01-23,Guadeloupe,1.0,0
311,2021-01-24,Guadeloupe,1.0,1
312,2021-01-25,Guadeloupe,1.0,0
313,2021-01-26,Guadeloupe,1.0,0
314,2021-01-27,Guadeloupe,1.0,1
315,2021-01-28,Guadeloupe,1.0,0
316,2021-01-29,Guadeloupe,1.0,0
317,2021-01-30,Guadeloupe,1.0,1
318,2021-01-31,Guadeloupe,1.0,1
319,2021-02-01,Guadeloupe,1.0,0
320,2021-02-02,Guadeloupe,1.0,2
321,2021-02-03,Guadeloupe,1.0,0
322,2021-02-04,Guadeloupe,1.0,0
323,2021-02-05,Guadeloupe,1.0,1
324,2021-02-06,Guadeloupe,1.0,0
325,2021-02-07,Guadeloupe,1.0,1
326,2021-02-08,Guadeloupe,1.0,1
327,2021-02-09,Guadeloupe,1.0,0
328,2021-02-10,Guadeloupe,1.0,0
329,2021-02-11,Guadeloupe,1.0,1
330,2021-02-12,Guadeloupe,1.0,0
331,2021-02-13,Guadeloupe,1.0,1
332,2021-02-14,Guadeloupe,1.0,0
333,2021-02-15,Guadeloupe,1.0,0
334,2021-02-16,Guadeloupe,1.0,0
335,2021-02-17,Guadeloupe,1.0,0
336,2021-02-18,Guadeloupe,1.0,0
337,2021-02-19,Guadeloupe,1.0,0
338,2021-02-20,Guadeloupe,1.0,3
339,2021-02-21,Guadeloupe,1.0,0
340,2021-02-22,Guadeloupe,1.0,1
341,2021-02-23,Guadeloupe,1.0,1
342,2021-02-24,Guadeloupe,1.0,1
343,2021-02-25,Guadeloupe,1.0,0
344,2021-02-26,Guadeloupe,1.0,1
345,2021-02-27,Guadeloupe,1.0,2
346,2021-02-28,Guadeloupe,1.0,0
347,2021-03-01,Guadeloupe,1.0,0
348,2021-03-02,Guadeloupe,1.0,0
349,2021-03-03,Guadeloupe,1.0,2
350,2021-03-04,Guadeloupe,1.0,0
351,2021-03-05,Guadeloupe,1.0,0
352,2021-03-06,Guadeloupe,1.0,0
353,2021-03-07,Guadeloupe,1.0,1
354,2021-03-08,Guadeloupe,1.0,0
355,2021-03-09,Guadeloupe,1.0,0
356,2021-03-10,Guadeloupe,1.0,0
357,2021-03-11,Guadeloupe,1.0,1
358,2021-03-12,Guadeloupe,1.0,0
359,2021-03-13,Guadeloupe,1.0,2
360,2021-03-14,Guadeloupe,1.0,2
361,2021-03-15,Guadeloupe,1.0,3
362,2021-03-16,Guadeloupe,1.0,2
363,2021-03-17,Guadeloupe,1.0,0
364,2021-03-18,Guadeloupe,1.0,1
365,2021-03-19,Guadeloupe,1.0,0
366,2021-03-20,Guadeloupe,1.0,3
367,2021-03-21,Guadeloupe,1.0,1
368,2021-03-22,Guadeloupe,1.0,1
369,2021-03-23,Guadeloupe,1.0,1
370,2021-03-24,Guadeloupe,1.0,0
371,2021-03-25,Guadeloupe,1.0,0
372,2021-03-26,Guadeloupe,1.0,1
373,2021-03-27,Guadeloupe,1.0,1
374,2021-03-28,Guadeloupe,1.0,1
375,2021-03-29,Guadeloupe,1.0,0
376,2021-03-30,Guadeloupe,1.0,2
377,2021-03-31,Guadeloupe,1.0,2
378,2021-04-01,Guadeloupe,1.0,0
379,2021-04-02,Guadeloupe,1.0,2
380,2021-04-03,Guadeloupe,1.0,1
381,2021-04-04,Guadeloupe,1.0,1
382,2021-04-05,Guadeloupe,1.0,0
383,2021-04-06,Guadeloupe,1.0,0
384,2021-04-07,Guadeloupe,1.0,3
385,2021-04-08,Guadeloupe,1.0,1
386,2021-04-09,Guadeloupe,1.0,2
387,2021-04-10,Guadeloupe,1.0,2
388,2021-04-11,Guadeloupe,1.0,0
389,2021-04-12,Guadeloupe,1.0,3
390,2021-04-13,Guadeloupe,1.0,3
391,2021-04-14,Guadeloupe,1.0,2
392,2021-04-15,Guadeloupe,1.0,2
393,2021-04-16,Guadeloupe,1.0,3
394,2021-04-17,Guadeloupe,1.0,3
395,2021-04-18,Guadeloupe,1.0,0
396,2021-04-19,Guadeloupe,1.0,2
397,2021-04-20,Guadeloupe,1.0,1
398,2021-04-21,Guadeloupe,1.0,3
399,2021-04-22,Guadeloupe,1.0,0
400,2021-04-23,Guadeloupe,1.0,5
401,2021-04-24,Guadeloupe,1.0,5
402,2021-04-25,Guadeloupe,1.0,3
403,2021-04-26,Guadeloupe,1.0,1
404,2021-04-27,Guadeloupe,1.0,3
405,2021-04-28,Guadeloupe,1.0,3
406,2021-04-29,Guadeloupe,1.0,6
407,2021-04-30,Guadeloupe,1.0,4
408,2021-05-01,Guadeloupe,1.0,1
409,2021-05-02,Guadeloupe,1.0,1
410,2021-05-03,Guadeloupe,1.0,3
411,2021-05-04,Guadeloupe,1.0,1
412,2021-05-05,Guadeloupe,1.0,4
413,2021-05-06,Guadeloupe,1.0,0
414,2021-05-07,Guadeloupe,1.0,0
415,2021-05-08,Guadeloupe,1.0,7
416,2021-05-09,Guadeloupe,1.0,1
417,2021-05-10,Guadeloupe,1.0,1
418,2021-05-11,Guadeloupe,1.0,5
419,2021-05-12,Guadeloupe,1.0,4
420,2021-05-13,Guadeloupe,1.0,2
421,2021-05-14,Guadeloupe,1.0,0
422,2021-05-15,Guadeloupe,1.0,1
